series_name,episode,series_ep,season,season_ep,user_rating,user_votes
Homeland,The Choice,24,2,12,9.3,3604
Homeland,Tin Man Is Down,25,3,1,8.0,2769
Homeland,Uh... Oh... Ah...,26,3,2,7.3,2476
Homeland,Tower of David,27,3,3,7.4,2502
Homeland,Game On,28,3,4,8.2,2377
Homeland,The Yoga Play,29,3,5,8.1,2136
Homeland,Still Positive,30,3,6,8.0,2063
Homeland,Gerontion,31,3,7,8.3,2038
Homeland,A Red Wheelbarrow,32,3,8,8.5,2135
Homeland,One Last Thing,33,3,9,8.6,2212
Homeland,Good Night,34,3,10,8.8,2353
Homeland,Big Man in Tehran,35,3,11,9.2,3176
Homeland,The Star,36,3,12,8.4,3264
Homeland,The Drone Queen,37,4,1,8.3,2617
Homeland,Trylon and Perisphere,38,4,2,7.7,2209
Homeland,Shalwar Kameez,39,4,3,8.0,2089
Homeland,Iron in the Fire,40,4,4,7.9,1976
Homeland,About a Boy,41,4,5,7.7,1943
Homeland,From A to B and Back Again,42,4,6,9.0,2539
Homeland,Redux,43,4,7,8.7,2510
Homeland,Halfway to a Donut,44,4,8,9.1,2752
Homeland,There's Something Else Going On,45,4,9,9.6,5418
Homeland,13 Hours in Islamabad,46,4,10,9.4,3686
Homeland,Krieg Nicht Lieb,47,4,11,8.8,2700
Homeland,Long Time Coming,48,4,12,5.6,4457
Homeland,Separation Anxiety,49,5,1,7.9,2292
Homeland,The Tradition of Hospitality,50,5,2,8.4,2034
Homeland,Super Powers,51,5,3,8.3,1924
Homeland,Why Is This Night Different?,52,5,4,8.7,1991
Homeland,Better Call Saul,53,5,5,8.2,1698
Homeland,Parabiosis,54,5,6,8.2,1643
Homeland,Oriole,55,5,7,8.1,1593
Homeland,All About Allison,56,5,8,8.1,1615
Homeland,The Litvinov Ruse,57,5,9,9.0,2087
Homeland,New Normal,58,5,10,8.4,1697
Homeland,Our Man in Damascus,59,5,11,9.1,2355
Homeland,A False Glimmer,60,5,12,7.9,2076
Homeland,Fair Game,61,6,1,7.2,1818
Homeland,The Man in the Basement,62,6,2,7.3,1528
Homeland,The Covenant,63,6,3,7.5,1412
Homeland,A Flash of Light,64,6,4,8.0,1417
Homeland,Casus Belli,65,6,5,8.8,1885
Homeland,The Return,66,6,6,8.2,1413
Homeland,Imminent Risk,67,6,7,7.9,1338
Homeland,Alt.truth,68,6,8,8.4,1484
Homeland,Sock Puppets,69,6,9,8.4,1410
Homeland,The Flag House,70,6,10,8.5,1451
Homeland,R Is for Romeo,71,6,11,8.9,1645
Homeland,America First,72,6,12,8.2,1942
Homeland,Enemy of the State,73,7,1,7.7,1407
Homeland,Rebel Rebel,74,7,2,7.8,1242
Homeland,Standoff,75,7,3,7.7,1115
Homeland,Like Bad at Things,76,7,4,8.8,1418
Homeland,Active Measures,77,7,5,8.0,1076
Homeland,Species Jump,78,7,6,8.5,1215
Homeland,Andante,79,7,7,8.2,1056
Homeland,"Lies, Amplifiers, F**king Twitter",80,7,8,8.5,1086
Homeland,Useful Idiot,81,7,9,8.8,1348
Homeland,Clarity,82,7,10,8.0,1053
Homeland,All In,83,7,11,8.9,1496
Homeland,Paean to the People,84,7,12,8.5,1333
Better Call Saul,Uno,1,1,1,8.7,10493
Better Call Saul,Mijo,2,1,2,9.1,9650
Better Call Saul,Nacho,3,1,3,8.9,8021
Better Call Saul,Hero,4,1,4,8.7,6920
Better Call Saul,Alpine Shepherd Boy,5,1,5,8.3,6431
Better Call Saul,Five-O,6,1,6,9.5,10711
Better Call Saul,Bingo,7,1,7,8.8,6017
Better Call Saul,RICO,8,1,8,8.9,5880
Better Call Saul,Pimento,9,1,9,9.5,7960
Better Call Saul,Marco,10,1,10,8.8,6331
Better Call Saul,Switch,11,2,1,8.5,5059
Better Call Saul,Cobbler,12,2,2,8.7,4335
Better Call Saul,Amarillo,13,2,3,8.5,4023
Better Call Saul,Gloves Off,14,2,4,9.1,4396
Better Call Saul,Rebecca,15,2,5,8.2,3900
Better Call Saul,Bali Ha'i,16,2,6,8.6,3808
Better Call Saul,Inflatable,17,2,7,8.6,3764
Better Call Saul,Fifi,18,2,8,8.6,3743
Better Call Saul,Nailed,19,2,9,9.4,5111
Better Call Saul,Klick,20,2,10,9.1,4453
Better Call Saul,Mabel,21,3,1,8.3,4386
Better Call Saul,Witness,22,3,2,9.1,4361
Better Call Saul,Sunk Costs,23,3,3,8.6,3685
Better Call Saul,Sabrosito,24,3,4,9.1,4061
Better Call Saul,Chicanery,25,3,5,9.7,8494
Better Call Saul,Off Brand,26,3,6,8.7,3643
Better Call Saul,Expenses,27,3,7,8.5,3402
Better Call Saul,Slip,28,3,8,8.7,3330
Better Call Saul,Fall,29,3,9,9.0,3558
Better Call Saul,Lantern,30,3,10,9.2,4409
Better Call Saul,Smoke,31,4,1,8.4,3435
Better Call Saul,Breathe,32,4,2,8.9,3310
Better Call Saul,Something Beautiful,33,4,3,8.7,2900
Better Call Saul,Talk,34,4,4,8.4,2740
Better Call Saul,Quite a Ride,35,4,5,8.8,2836
Better Call Saul,Piñata,36,4,6,8.7,2664
Better Call Saul,Something Stupid,37,4,7,8.6,2560
Better Call Saul,Coushatta,38,4,8,9.0,2754
Better Call Saul,Wiedersehen,39,4,9,9.2,2820
Better Call Saul,Winner,40,4,10,9.6,4300
